COc1cccc(c1O)/C=C(/c1nc2c([nH]1)cccc2)C#N,8F06,1
C1CCN(CC1)Cn1c2ccccc2c2c1nc1ccccc1n2,46D07,1
CCOC(=O)c1cnc2c(c1NCc1ccco1)ccc(c2C)Cl,45G06,1
OCCCNc1c(cnc2c1cc(Cl)cc2C)C(=O)OCC,86A04,1
CCOC(=O)c1cnc2c(c1NCCCN1CCOCC1)ccc(c2C)Cl,86B04,1
Cc1ccc2c(c1)nc(c(c2)/C=C1/SC(=N)N(C1=O)C(=O)C)O,85B08,1
COc1ccc2c(c1)c(C(=O)O)c(n2CCc1ccc(c(c1)OC)OC)C,85C03,1
O=C(c1cc2c(o1)cccc2)Nc1nc2c(s1)cc(cc2)S(=O)(=O)C,86H03,1
N#C/C(=Cc1c(Oc2cccc(c2)C)nc2n(c1=O)cccc2)/c1nc2c([nH]1)cccc2,128A05,1
c1ccc(cn1)c1[nH]c2c(n1)cc(cc2)Oc1ccc2c(c1)nc([nH]2)c1cccnc1,125B09,1
n1ccc(cc1)c1[nH]c2c(n1)cc(cc2)Oc1ccc2c(c1)nc([nH]2)c1ccncc1,125C09,1
N#C/C(=Cc1c(Oc2ccccc2)nc2n(c1=O)cccc2)/c1nc2c(s1)cccc2,127E09,1
N=C(Nc1nc(C)c2c(n1)cccc2)NC(=O)CCN1C(=O)c2c(C1=O)cccc2,125F11,1
N#C/C(=Cc1c(Oc2ccccc2Cl)nc2n(c1=O)cccc2)/c1nc2c([nH]1)cccc2,128G08,1
CCOC(=O)c1cnc(nc1N)SCc1cccc(c1)C,125H11,1
C=CC[n+]1c(sc2c1cccc2)/C=c/1ccccn1C,167A08,1
O=C1C(c2cc(C)c3c(n2)cccc3)C(=O)c2c1cccc2,167H05,1
O=C(c1cc2c(s1)c1ccccc1oc2=O)NC1CCN(CC1)Cc1ccccc1,206C09,1
Cc1ccc(nc1)NC(=O)c1cc2c(s1)c1ccccc1oc2=O,206D09,1
CCOC(=O)c1cnc2c(c1NCC1COc3c(O1)cccc3)cccc2OC,205E10,1
Clc1ccc(cc1)C(=O)/C=c/1[nH]c2ccc(cc2[nH]c1=O)C(=O)N1CCN(CC1)c1ccco1,247C07,1
O=C(c1ccc(c(c1)C)C)/C=c/1[nH]c2ccccc2[nH]c1=O,247D02,1
CCN1CCN(CC1)CCCNC(=O)c1ccc2c(c1)[nH]c(=O)/c(=C/C(=O)c1ccc(cc1)OC)/[nH]2,247E06,1
COc1ccc(cc1)C(=O)/C=c/1[nH]c2ccc(cc2[nH]c1=O)C(=O)NCc1cccc(c1)OC,247H04,1
Clc1cccc(c1)CNC(=O)c1cnc2n(c1=O)cccc2,325B05,1
COc1cc(ccc1OC)CCn1c(SCC(=O)Nc2[nH]nc(c2)C)nc2c(c1=O)cccn2,326B10,1
CN(Cc1ccccc1)CCCNC(=O)c1cc2c(s1)c1cc(C)ccc1[nH]c2=O,328F08,1
Cc1ccn2c(c1)ncc(c2=O)C(=O)Nc1cccnc1,325H05,1
Cc1nn2c(nnc2c2c1cccc2)c1ccco1,405D09,1
Cc1nn2c(nnc2c2c1cccc2)c1ccncc1,405G09,1
Fc1ccc(cc1)c1nn2c(n1)c1c(nc2)oc(c1C)C,488G08,1
O=C(N1CCn2c1nc1c2cccc1)c1[nH]nc(c1)c1ccccc1,526C02,1
COc1ccc(cc1C1=N/C(=CNc2ccccn2)/C(=O)O1)Cl,567C11,1
C/C(=Cc1ccccc1)/C=C1/N=C(OC1=O)/C=C/c1ccccc1,566H10,1
